,Nombre_tienda,Estrellas,Reseñas,Precio,Tipo_local,Direccion
88,Cafeteria Nova & Gent,"4,7",(34),"4,7(34) · 1-10 €","Cafetería ·  · Carrer de Milà, 22, Local 2
Cierra pronto ⋅ 13:30 ⋅ Próxima apertura: 16:00","Cafetería ·  · Carrer de Milà, 22, Local 2"
89,Farggi,"3,4",(370),"3,4(370) · 1-10 €","Cafetería ·  · Carrer de la Concòrdia, n-1
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Carrer de la Concòrdia, n-1"
90,Churreria Bar Rodríguez,"4,4",(940),"4,4(940) · €","Churrería ·  · Passeig de la Salut, 76
Cierra pronto ⋅ 13:00 ⋅ Próxima apertura: 16:30","Churrería ·  · Passeig de la Salut, 76"
91,Churrería Los Franci's,"4,7",(80),"4,7(80) · €","Churrería ·  · Carrer d'Ausiàs Marc, s/N
Cerrado ⋅ Apertura: 17:30 (vie)","Churrería ·  · Carrer d'Ausiàs Marc, s/N"
92,Dolcezza gelateria,"4,7",(118),"4,7(118)","Helado ·  · Passeig Marítim, 19
Abre pronto ⋅ 13:00","Helado ·  · Passeig Marítim, 19"
93,Can Mig Badalona,"4,9",(43),"4,9(43) · 20-30 €","Restaurante ·  · Pg. de la Rambla, 31
Abierto ⋅ Cierra a las 0:30","Restaurante ·  · Pg. de la Rambla, 31"
94,Vivari 2012 S C P,"3,7",(286),"3,7(286) · 1-10 €","Cafetería ·  · Carrer de Francesc Layret, 68
Abierto ⋅ Cierra a las 21:00","Cafetería ·  · Carrer de Francesc Layret, 68"
95,Bar Restaurante El Jamón,"4,2",(1.239),"4,2(1.239) · 10-30 €","Restaurante ·  · Av. de Martí Pujol, 671
Abierto ⋅ Cierra a las 0:00","Restaurante ·  · Av. de Martí Pujol, 671"
96,Carrefour,"3,9",(6.646),"3,9(6.646)","Hipermercado ·  · Avinguda de la Comunitat Europea, s/n
Abierto ⋅ Cierra a las 21:00","Hipermercado ·  · Avinguda de la Comunitat Europea, s/n"
97,Meila,"4,2",(66),"4,2(66) · 10-20 €","Restaurante ·  · Av. de Catalunya, 1A
Abierto ⋅ Cierra a las 0:00","Restaurante ·  · Av. de Catalunya, 1A"
